system:index,Date,Sentinel_AAI,Sentinel_NO2,.geo
164,2018-12-09,-0.6325772600265146,2.747645786718006E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,2018-12-10,-0.48457872387959133,1.9522160980005532E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,2018-12-12,-0.18117727304323597,1.759966544341296E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,2018-12-13,-0.3579878916397135,7.721350173893421E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,2018-12-14,-1.0483201441998944,1.3830387560475357E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,2018-12-15,-1.2310069407332018,1.1360589981430281E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,2018-12-16,-1.1659281411203362,1.679589918486212E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,2018-12-17,-0.9275182159935932,1.4165656855803473E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,2018-12-18,-0.1638178043154527,9.510234007085658E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,2018-12-19,-0.8750198473423716,1.6108097477334965E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,2018-12-20,-1.0305271461882546,2.4233700122891564E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,2018-12-21,-1.118331386331544,1.744622560295191E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,2018-12-22,-0.36257639187347407,3.582967005244775E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,2018-12-23,0.21205212990818767,1.3797556231542313E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,2018-12-24,-0.5395489899638327,1.3893915609383632E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,2018-12-25,-0.9720028812569511,1.0227989443982768E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,2018-12-26,-1.0726188977024245,1.430049658487815E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,2018-12-27,-0.17642383622505364,3.4996415025678187E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,2018-12-28,0.35368133426367865,9.269608019278845E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,2018-12-29,-0.6994617993503949,1.1517480958288889E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,2018-12-30,-0.794201445239992,2.0251890442471988E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,2018-12-31,-1.0697475762731472,1.0797871296544969E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
